index,horse_id,won,y_predict,top_prediction,accuracy
63928,3177,0,0.08333322405815125,0,False
63929,4080,0,0.08333361148834229,0,False
63930,0,0,0.08333314955234528,0,False
63931,2272,0,0.08333313465118408,0,False
63932,3401,0,0.08333303034305573,0,False
63933,328,0,0.08333361893892288,0,False
63934,1432,0,0.08333346247673035,0,False
63935,4083,0,0.083333820104599,1,False
63936,1008,1,0.08333303034305573,0,False
63937,3363,0,0.08333348482847214,0,False
63938,2836,0,0.33333200216293335,0,False
63939,3864,0,0.3333333432674408,0,False
63940,4126,0,0.33333462476730347,1,False
63941,508,0,0.09090907126665115,0,False
63942,1233,0,0.09090869873762131,0,False
63943,3794,0,0.09090907126665115,0,False
63944,1021,0,0.09090932458639145,0,False
63945,3333,0,0.090909443795681,0,False
63946,58,0,0.09090875089168549,0,False
63947,844,1,0.09090908616781235,0,False
63948,2421,0,0.09090948849916458,0,False
63949,2105,0,0.09090885519981384,0,False
63950,314,0,0.09090922027826309,0,False
63951,700,0,0.09090902656316757,0,False
63952,1118,0,0.07142843306064606,0,False
63953,1598,0,0.07142876833677292,0,False
63954,2870,0,0.07142872363328934,0,False
63955,4193,0,0.07142815738916397,0,False
63956,1972,0,0.07142868638038635,0,False
63957,2556,0,0.07142847776412964,0,False
63958,4079,0,0.0714283362030983,0,False
63959,309,0,0.0714287981390953,0,False
63960,1090,1,0.07142845541238785,0,False
63961,2963,0,0.07142850756645203,0,False
63962,1800,0,0.07142839580774307,0,False
63963,626,0,0.07142875343561172,0,False
63964,2237,0,0.07142867147922516,0,False
63965,3975,0,0.07142886519432068,1,False
63966,2225,0,0.14285776019096375,0,False
63967,1157,0,0.14285726845264435,0,False
63968,1879,1,0.14285771548748016,0,False
63969,624,0,0.14285717904567719,0,False
63970,709,0,0.14285655319690704,0,False
63971,936,0,0.14285697042942047,0,False
63972,3313,0,0.14285656809806824,0,False
63973,2000,0,0.1666666865348816,0,False
63974,511,0,0.1666671484708786,0,False
63975,4386,0,0.1666666567325592,0,False
63976,2267,0,0.16666729748249054,1,False
63977,1339,0,0.166666641831398,0,False
63978,3798,0,0.16666558384895325,0,False
63979,2558,0,0.10000040382146835,1,False
63980,1067,0,0.09999968856573105,0,False
63981,2577,0,0.10000021755695343,0,False
63982,3047,0,0.09999975562095642,0,False
63983,1572,1,0.10000026971101761,0,False
63984,155,0,0.10000019520521164,0,False
63985,3959,0,0.09999995678663254,0,False
63986,17,0,0.10000001639127731,0,False
63987,1492,0,0.09999978542327881,0,False
63988,414,0,0.09999973326921463,0,False
63989,4300,0,0.08333352953195572,0,False
63990,3044,0,0.08333324640989304,0,False
63991,3924,1,0.08333292603492737,0,False
63992,691,0,0.08333329856395721,0,False
63993,1431,0,0.08333361148834229,0,False
63994,2863,0,0.08333326876163483,0,False
63995,3999,0,0.08333355188369751,0,False
63996,1163,0,0.08333371579647064,1,False
63997,4000,0,0.08333297073841095,0,False
63998,1357,0,0.08333323150873184,0,False
63999,4366,0,0.08333349972963333,0,False
64000,1232,0,0.08333317190408707,0,False
64001,2248,0,0.24999873340129852,0,False
64002,2302,0,0.25000110268592834,1,False
64003,4135,0,0.24999958276748657,0,False
64004,2651,1,0.25000056624412537,0,False
64005,1701,0,0.11111119389533997,0,False
64006,2106,0,0.11111107468605042,0,False
64007,2540,0,0.11111106723546982,0,False
64008,338,0,0.11111106723546982,0,False
64009,536,0,0.11111138761043549,0,False
64010,1246,0,0.1111108735203743,0,False
64011,1282,0,0.11111067235469818,0,False
64012,4336,0,0.1111116036772728,0,False
64013,656,0,0.1111111119389534,0,False
64014,2400,0,0.07142847776412964,0,False
64015,1238,0,0.07142865657806396,0,False
64016,3502,0,0.0714283287525177,0,False
64017,2100,0,0.07142845541238785,0,False
64018,1695,0,0.0714285597205162,0,False
64019,4089,0,0.07142867147922516,0,False
64020,4307,0,0.07142825424671173,0,False
64021,1678,0,0.07142907381057739,1,False
64022,2912,0,0.07142842561006546,0,False
64023,2835,0,0.0714285597205162,0,False
64024,3193,0,0.07142871618270874,0,False
64025,3000,0,0.07142860442399979,0,False
64026,3722,0,0.07142851501703262,0,False
64027,3754,1,0.07142873108386993,0,False
64028,1292,0,0.11111070215702057,0,False
64029,2266,0,0.11111093312501907,0,False
64030,928,0,0.11111138761043549,0,False
64031,683,0,0.11111079156398773,0,False
64032,1616,0,0.11111165583133698,0,False
64033,2155,0,0.11111119389533997,0,False
64034,3233,0,0.11111132800579071,0,False
64035,408,0,0.11111091077327728,0,False
64036,1908,0,0.1111110970377922,0,False
64037,1308,0,0.3333326578140259,0,False
64038,321,1,0.3333340585231781,1,True
64039,3870,0,0.3333333134651184,0,False
64040,3665,1,0.08333339542150497,0,False
64041,2622,0,0.08333368599414825,1,False
64042,1680,0,0.08333338797092438,0,False
64043,653,0,0.0833333358168602,0,False
64044,518,0,0.08333329856395721,0,False
64045,2408,0,0.08333317935466766,0,False
64046,2284,0,0.08333343267440796,0,False
64047,1368,0,0.0833330899477005,0,False
64048,68,0,0.08333311229944229,0,False
64049,3323,0,0.08333323895931244,0,False
64050,2921,0,0.08333317190408707,0,False
64051,32,0,0.08333368599414825,1,False
64052,2838,1,0.08333341777324677,0,False
64053,3871,0,0.08333342522382736,0,False
64054,1052,0,0.08333343267440796,0,False
64055,209,0,0.08333317190408707,0,False
64056,493,0,0.08333346992731094,0,False
64057,2520,0,0.08333267271518707,0,False
64058,963,0,0.0833333283662796,0,False
64059,1756,0,0.08333268761634827,0,False
64060,2866,0,0.08333364874124527,0,False
64061,3721,0,0.08333335816860199,0,False
64062,926,0,0.08333366364240646,0,False
64063,4229,0,0.08333369344472885,1,False
64064,2112,0,0.19999989867210388,0,False
64065,2561,0,0.19999995827674866,0,False
64066,974,0,0.19999991357326508,0,False
64067,1495,0,0.19999997317790985,0,False
64068,2522,0,0.20000019669532776,1,False
64069,1283,0,0.14285768568515778,0,False
64070,3192,1,0.14285671710968018,0,False
64071,2493,0,0.14285674691200256,0,False
64072,1348,0,0.14285773038864136,0,False
64073,3887,0,0.14285773038864136,0,False
64074,1642,0,0.14285726845264435,0,False
64075,4283,0,0.1428561508655548,0,False
64076,2960,0,0.08333301544189453,0,False
64077,625,0,0.08333345502614975,0,False
64078,1722,0,0.08333300799131393,0,False
64079,1603,0,0.0833335891366005,0,False
64080,4359,0,0.08333343267440796,0,False
64081,706,0,0.08333338052034378,0,False
64082,779,0,0.08333364874124527,1,False
64083,705,0,0.08333302289247513,0,False
64084,3920,0,0.08333314210176468,0,False
64085,703,1,0.08333351463079453,0,False
64086,38,0,0.08333350718021393,0,False
64087,4217,0,0.08333328366279602,0,False
64088,481,0,0.0833333358168602,0,False
64089,122,0,0.08333303779363632,0,False
64090,2218,0,0.08333345502614975,0,False
64091,3001,1,0.08333312720060349,0,False
64092,655,0,0.08333320170640945,0,False
64093,158,0,0.08333365619182587,0,False
64094,848,0,0.08333345502614975,0,False
64095,1291,0,0.08333377540111542,0,False
64096,3972,0,0.08333338052034378,0,False
64097,2592,0,0.08333230763673782,0,False
64098,3339,0,0.08333341777324677,0,False
64099,406,0,0.08333388715982437,1,False
64100,2738,0,1.0,1,False
64101,3185,0,0.09090840816497803,0,False
64102,2538,0,0.09090917557477951,0,False
64103,2681,0,0.09090883284807205,0,False
64104,3234,0,0.09090917557477951,0,False
64105,1918,0,0.09090936928987503,0,False
64106,1583,0,0.09090978652238846,0,False
64107,812,0,0.09090904146432877,0,False
64108,3849,0,0.09090952575206757,0,False
64109,1752,1,0.09090913832187653,0,False
64110,3515,0,0.0909092128276825,0,False
64111,4290,0,0.09090834110975266,0,False
64112,2799,0,0.08333329111337662,0,False
64113,1264,0,0.08333344757556915,0,False
64114,563,0,0.0833330973982811,0,False
64115,36,0,0.08333318680524826,0,False
64116,466,0,0.08333352208137512,0,False
64117,4088,0,0.08333321660757065,0,False
64118,1974,0,0.08333343267440796,0,False
64119,2563,0,0.08333300799131393,0,False
64120,1754,0,0.08333343267440796,0,False
64121,3052,0,0.08333392441272736,1,False
64122,2581,1,0.08333341032266617,0,False
64123,322,0,0.08333303779363632,0,False
64124,4004,0,0.11111073940992355,0,False
64125,3580,0,0.11111114174127579,0,False
64126,839,0,0.11111139506101608,0,False
64127,3641,0,0.11111075431108475,0,False
64128,3642,0,0.11111071705818176,0,False
64129,418,0,0.11111121624708176,0,False
64130,217,0,0.11111106723546982,0,False
64131,510,0,0.11111126095056534,0,False
64132,3024,1,0.11111167818307877,1,True
64133,4279,0,0.07142841815948486,0,False
64134,3672,0,0.07142847776412964,0,False
64135,3135,0,0.07142866402864456,0,False
64136,1617,0,0.07142842561006546,0,False
64137,2443,0,0.07142860442399979,0,False
64138,2406,0,0.07142835110425949,0,False
64139,18,1,0.0714285597205162,0,False
64140,650,0,0.07142838090658188,0,False
64141,4067,0,0.07142823189496994,0,False
64142,321,0,0.07142869383096695,0,False
64143,1704,0,0.07142878323793411,0,False
64144,651,0,0.07142916321754456,1,False
64145,1073,0,0.0714285671710968,0,False
64146,3644,0,0.07142871618270874,0,False
64147,3864,0,0.07142872363328934,0,False
64148,3391,0,0.07142788916826248,0,False
64149,3140,0,0.07142889499664307,1,False
64150,3334,1,0.0714285671710968,0,False
64151,1124,0,0.07142870873212814,0,False
64152,3774,0,0.07142847776412964,0,False
64153,1245,0,0.07142838090658188,0,False
64154,4184,0,0.07142836600542068,0,False
