index,race_id,horse_id,won,y_predict,top_prediction,accuracy,win_dividend1,gains
8529,5758,3552,1,0.11255016112955897,1,True,3.45,345.0
8542,5759,2573,0,0.1263980718957311,1,False,19.2,-100.0
8553,5760,1603,0,0.12925668484259006,1,False,40.75,-100.0
8567,5761,298,0,0.13390454407092878,1,False,6.2,-100.0
8574,5762,2078,0,0.14417451720295432,1,False,2.05,-100.0
8590,5763,120,0,0.1443778870690432,1,False,3.4,-100.0
8601,5764,547,1,0.13569668601695445,1,True,3.8,380.0
8613,5765,3574,0,0.13189910735230664,1,False,7.5,-100.0
8624,5766,1091,0,0.10630683530100864,1,False,6.7,-100.0
8638,5767,1122,0,0.1322579570933542,1,False,1.8,-100.0
8648,5768,1792,1,0.16598644867478213,1,True,3.0,300.0
8663,5769,3726,0,0.13730594699193538,1,False,3.85,-100.0
8675,5770,1524,0,0.13976443295900393,1,False,9.7,-100.0
8683,5771,4276,1,0.1472107584043289,1,True,4.3,430.0
8694,5772,1650,0,0.13526771951681715,1,False,34.75,-100.0
8710,5773,2593,0,0.13884323325241155,1,False,2.6,-100.0
8723,5774,1037,1,0.1375725269612495,1,True,3.2,320.0
8734,5775,2590,0,0.13072062963034436,1,False,5.9,-100.0
8752,5776,301,0,0.14145876366116988,1,False,2.9,-100.0
8758,5777,2220,0,0.11523221656390605,1,False,4.45,-100.0
8774,5778,2769,0,0.13101982192232825,1,False,16.2,-100.0
8782,5779,3431,0,0.13100810071204044,1,False,114.45,-100.0
8799,5780,4290,0,0.12348112697734358,1,False,18.3,-100.0
8806,5781,2529,0,0.11949037664917188,1,False,17.8,-100.0
8820,5782,2905,1,0.13734554610964367,1,True,11.05,1105.0
8833,5783,690,0,0.1376704363415034,1,False,14.5,-100.0
8843,5784,2652,0,0.12487483440975942,1,False,6.7,-100.0
8854,5785,760,1,0.12914693305707103,1,True,2.7,270.0
8868,5786,4005,0,0.15954554223045198,1,False,9.55,-100.0
8873,5787,84,0,0.12664170885132603,1,False,7.45,-100.0
8895,5788,631,0,0.12725782612187048,1,False,10.8,-100.0
8906,5789,1751,0,0.13067476386791704,1,False,8.2,-100.0
8914,5790,897,1,0.14583252896493343,1,True,3.25,325.0
8930,5791,88,1,0.14573294571743423,1,True,5.0,500.0
8945,5792,627,0,0.1398877522374534,1,False,3.85,-100.0
8953,5793,2292,0,0.14038193866515075,1,False,4.15,-100.0
8972,5794,11,0,0.1413833959934337,1,False,5.15,-100.0
8984,5795,611,0,0.11761953118967079,1,False,36.45,-100.0
8993,5796,3013,1,0.1348236132486747,1,True,7.05,705.0
9009,5797,1233,0,0.13618232892017584,1,False,32.1,-100.0
9021,5798,4288,0,0.11702865229776709,1,False,4.8,-100.0
9031,5799,120,0,0.14973935869795396,1,False,9.1,-100.0
9040,5800,4200,1,0.12708590849117812,1,True,3.45,345.0
9052,5801,404,0,0.14068730066179336,1,False,2.5,-100.0
9071,5802,1516,0,0.1306369522857066,1,False,5.6,-100.0
9077,5803,3208,0,0.1200436731184379,1,False,9.1,-100.0
9094,5804,3384,1,0.13822301418913496,1,True,3.45,345.0
9106,5805,3471,1,0.13420162166691002,1,True,5.5,550.0
9122,5806,4203,0,0.12583366890300818,1,False,8.8,-100.0
9135,5807,2725,0,0.12647796669050726,1,False,6.95,-100.0
9150,5808,160,0,0.133774273458873,1,False,27.45,-100.0
9163,5809,3509,0,0.15697511331003433,1,False,1.65,-100.0
9171,5810,1913,0,0.14804022604273814,1,False,4.4,-100.0
9184,5811,3780,1,0.15398635289311757,1,True,3.35,335.0
9199,5812,3522,0,0.143194861998391,1,False,4.9,-100.0
9211,5813,1390,0,0.12273513106101545,1,False,4.8,-100.0
9228,5814,25,0,0.11406479890660533,1,False,13.45,-100.0
9235,5815,1710,0,0.1291671316068695,1,False,12.1,-100.0
9247,5816,2592,0,0.14497959977981567,1,False,23.35,-100.0
9265,5817,4254,0,0.13046801299471023,1,False,4.4,-100.0
9276,5818,2231,1,0.12959784455565387,1,True,3.45,345.0
9283,5819,1357,0,0.14027627050411678,1,False,4.25,-100.0
9296,5820,1287,0,0.13391606078141888,1,False,6.55,-100.0
9309,5821,629,0,0.11458959964489983,1,False,21.75,-100.0
9321,5822,2762,0,0.13690533676699224,1,False,4.4,-100.0
9331,5823,1153,1,0.13566545864115626,1,True,3.05,305.0
9347,5824,3568,0,0.13976650390291906,1,False,4.25,-100.0
9359,5825,4122,0,0.1287643153411197,1,False,7.05,-100.0
9374,5826,4169,1,0.13143495684869438,1,True,6.9,690.0
9388,5827,2965,0,0.13395827883058403,1,False,8.95,-100.0
9403,5828,4004,0,0.13620968798148197,1,False,17.95,-100.0
9420,5829,1199,0,0.14052584395117507,1,False,6.15,-100.0
9437,5830,897,0,0.15001134056078058,1,False,13.75,-100.0
9444,5831,3773,1,0.147292882576259,1,True,3.05,305.0
9463,5832,816,1,0.10902050303758716,1,True,4.3,430.0
9470,5833,1939,1,0.11830486214890436,1,True,4.8,480.0
