iter	Passed	Remaining
885	50082	6444
886	50134	6386
887	50183	6329
888	50235	6272
889	50284	6214
890	50331	6157
891	50379	6099
892	50429	6042
893	50482	5985
894	50531	5928
895	50574	5870
896	50616	5812
897	50659	5754
898	50710	5697
899	50751	5639
900	50796	5581
901	50841	5523
902	50899	5467
903	50960	5411
904	51026	5356
905	51075	5299
906	51136	5243
907	51203	5188
908	51264	5132
909	51320	5075
910	51385	5020
911	51449	4964
912	51511	4908
913	51558	4851
914	51612	4794
915	51683	4739
916	51738	4683
917	51792	4626
918	51851	4570
919	51916	4514
920	51967	4457
921	52018	4400
922	52086	4345
923	52144	4288
924	52201	4232
925	52248	4175
926	52302	4118
927	52355	4062
928	52418	4006
929	52470	3949
930	52524	3892
931	52578	3836
932	52640	3780
933	52692	3723
934	52744	3666
935	52854	3614
936	52918	3558
937	52973	3501
938	53028	3444
939	53089	3388
940	53157	3332
941	53227	3277
942	53288	3221
943	53354	3165
944	53410	3108
945	53472	3052
946	53519	2995
947	53578	2938
948	53631	2882
949	53692	2825
950	53745	2769
951	53803	2712
952	53860	2656
953	53920	2599
954	53969	2543
955	54034	2486
956	54086	2430
957	54132	2373
958	54193	2316
959	54253	2260
960	54316	2204
961	54385	2148
962	54433	2091
963	54495	2035
964	54552	1978
965	54611	1922
966	54676	1865
967	54735	1809
968	54822	1753
969	54912	1698
970	54989	1642
971	55069	1586
972	55144	1530
973	55205	1473
974	55272	1417
975	55336	1360
976	55392	1304
977	55457	1247
978	55504	1190
979	55568	1134
980	55622	1077
981	55688	1020
982	55749	964
983	55813	907
984	55864	850
985	55919	793
986	55980	737
987	56045	680
988	56114	624
989	56183	567
990	56240	510
991	56287	453
992	56334	397
993	56390	340
994	56450	283
995	56500	226
996	56560	170
997	56623	113
998	56687	56
999	56746	0
